wavelength,absolute_irradiance,arena,light_environment
409.431,1.97,horizontal,bright
409.874,1.88,horizontal,bright
410.317,1.81,horizontal,bright
410.761,1.84,horizontal,bright
411.204,1.89,horizontal,bright
411.647,1.73,horizontal,bright
412.09,1.73,horizontal,bright
412.532,1.63,horizontal,bright
412.975,1.62,horizontal,bright
413.418,1.61,horizontal,bright
413.861,1.61,horizontal,bright
414.303,1.55,horizontal,bright
414.746,1.47,horizontal,bright
415.189,1.46,horizontal,bright
415.631,1.34,horizontal,bright
416.074,1.32,horizontal,bright
416.516,1.36,horizontal,bright
416.958,1.25,horizontal,bright
417.401,1.17,horizontal,bright
417.843,1.15,horizontal,bright
418.285,1.08,horizontal,bright
418.727,1.05,horizontal,bright
419.169,0.97,horizontal,bright
419.611,0.92,horizontal,bright
420.053,0.86,horizontal,bright
420.495,0.87,horizontal,bright
420.937,0.87,horizontal,bright
421.379,0.83,horizontal,bright
421.82,0.76,horizontal,bright
422.262,0.77,horizontal,bright
422.704,0.76,horizontal,bright
423.145,0.7,horizontal,bright
423.587,0.67,horizontal,bright
424.028,0.68,horizontal,bright
424.47,0.65,horizontal,bright
424.911,0.65,horizontal,bright
425.352,0.63,horizontal,bright
425.794,0.62,horizontal,bright
426.235,0.62,horizontal,bright
426.676,0.67,horizontal,bright
427.117,0.59,horizontal,bright
427.558,0.61,horizontal,bright
427.999,0.6,horizontal,bright
428.44,0.63,horizontal,bright
428.881,0.6,horizontal,bright
429.322,0.61,horizontal,bright
429.762,0.58,horizontal,bright
430.203,0.59,horizontal,bright
430.644,0.61,horizontal,bright
431.084,0.6,horizontal,bright
431.525,0.59,horizontal,bright
431.965,0.63,horizontal,bright
432.406,0.61,horizontal,bright
432.846,0.64,horizontal,bright
433.286,0.66,horizontal,bright
433.727,0.64,horizontal,bright
434.167,0.68,horizontal,bright
434.607,0.69,horizontal,bright
435.047,0.69,horizontal,bright
435.487,0.81,horizontal,bright
435.927,0.85,horizontal,bright
436.367,0.91,horizontal,bright
436.807,0.86,horizontal,bright
437.247,0.87,horizontal,bright
437.686,0.81,horizontal,bright
438.126,0.8,horizontal,bright
438.566,0.82,horizontal,bright
439.005,0.83,horizontal,bright
439.445,0.87,horizontal,bright
439.884,0.95,horizontal,bright
440.324,0.93,horizontal,bright
440.763,0.94,horizontal,bright
441.203,0.96,horizontal,bright
441.642,1.04,horizontal,bright
442.081,1.04,horizontal,bright
442.52,1.08,horizontal,bright
442.959,1.15,horizontal,bright
443.398,1.16,horizontal,bright
443.837,1.2,horizontal,bright
444.276,1.26,horizontal,bright
444.715,1.33,horizontal,bright
445.154,1.33,horizontal,bright
445.593,1.44,horizontal,bright
446.031,1.51,horizontal,bright
446.47,1.55,horizontal,bright
446.909,1.62,horizontal,bright
447.347,1.64,horizontal,bright
447.786,1.74,horizontal,bright
448.224,1.8,horizontal,bright
448.663,1.83,horizontal,bright
449.101,1.86,horizontal,bright
449.539,2,horizontal,bright
449.977,1.93,horizontal,bright
450.416,1.97,horizontal,bright
450.854,2.03,horizontal,bright
451.292,2.06,horizontal,bright
451.73,2.09,horizontal,bright
452.168,2.08,horizontal,bright
452.606,2.1,horizontal,bright
453.043,2.05,horizontal,bright
453.481,2.02,horizontal,bright
453.919,2.03,horizontal,bright
454.357,1.96,horizontal,bright
454.794,1.91,horizontal,bright
455.232,1.84,horizontal,bright
455.669,1.76,horizontal,bright
456.107,1.7,horizontal,bright
456.544,1.68,horizontal,bright
456.981,1.65,horizontal,bright
457.419,1.63,horizontal,bright
457.856,1.51,horizontal,bright
458.293,1.43,horizontal,bright
458.73,1.45,horizontal,bright
459.167,1.39,horizontal,bright
459.604,1.3,horizontal,bright
460.041,1.3,horizontal,bright
460.478,1.26,horizontal,bright
460.915,1.2,horizontal,bright
461.352,1.2,horizontal,bright
461.789,1.2,horizontal,bright
462.225,1.11,horizontal,bright
462.662,1.16,horizontal,bright
463.098,1.16,horizontal,bright
463.535,1.15,horizontal,bright
463.971,1.08,horizontal,bright
464.408,1.07,horizontal,bright
464.844,1.08,horizontal,bright
465.28,1.04,horizontal,bright
465.717,1.06,horizontal,bright
466.153,1.04,horizontal,bright
466.589,1.02,horizontal,bright
467.025,1.01,horizontal,bright
467.461,0.98,horizontal,bright
467.897,1.01,horizontal,bright
468.333,0.98,horizontal,bright
468.769,0.93,horizontal,bright
469.205,0.91,horizontal,bright
469.64,0.9,horizontal,bright
470.076,0.87,horizontal,bright
470.512,0.87,horizontal,bright
470.947,0.85,horizontal,bright
471.383,0.82,horizontal,bright
471.818,0.81,horizontal,bright
472.254,0.78,horizontal,bright
472.689,0.78,horizontal,bright
473.124,0.75,horizontal,bright
473.56,0.75,horizontal,bright
473.995,0.71,horizontal,bright
474.43,0.72,horizontal,bright
474.865,0.69,horizontal,bright
475.3,0.67,horizontal,bright
475.735,0.66,horizontal,bright
476.17,0.66,horizontal,bright
476.605,0.63,horizontal,bright
477.039,0.62,horizontal,bright
477.474,0.62,horizontal,bright
477.909,0.6,horizontal,bright
478.343,0.6,horizontal,bright
478.778,0.62,horizontal,bright
479.213,0.58,horizontal,bright
479.647,0.59,horizontal,bright
480.081,0.58,horizontal,bright
480.516,0.6,horizontal,bright
480.95,0.59,horizontal,bright
481.384,0.58,horizontal,bright
481.819,0.58,horizontal,bright
482.253,0.57,horizontal,bright
482.687,0.57,horizontal,bright
483.121,0.57,horizontal,bright
483.555,0.58,horizontal,bright
483.989,0.57,horizontal,bright
484.422,0.58,horizontal,bright
484.856,0.58,horizontal,bright
485.29,0.59,horizontal,bright
485.724,0.59,horizontal,bright
486.157,0.59,horizontal,bright
486.591,0.61,horizontal,bright
487.024,0.59,horizontal,bright
487.458,0.62,horizontal,bright
487.891,0.6,horizontal,bright
488.325,0.59,horizontal,bright
488.758,0.61,horizontal,bright
489.191,0.6,horizontal,bright
489.624,0.6,horizontal,bright
490.058,0.61,horizontal,bright
490.491,0.6,horizontal,bright
490.924,0.59,horizontal,bright
491.357,0.59,horizontal,bright
491.79,0.6,horizontal,bright
492.222,0.59,horizontal,bright
492.655,0.59,horizontal,bright
493.088,0.6,horizontal,bright
493.521,0.59,horizontal,bright
493.953,0.61,horizontal,bright
494.386,0.62,horizontal,bright
494.818,0.61,horizontal,bright
495.251,0.61,horizontal,bright
495.683,0.61,horizontal,bright
496.116,0.62,horizontal,bright
496.548,0.62,horizontal,bright
496.98,0.63,horizontal,bright
497.412,0.63,horizontal,bright
497.844,0.62,horizontal,bright
498.276,0.63,horizontal,bright
498.709,0.64,horizontal,bright
499.14,0.64,horizontal,bright
499.572,0.65,horizontal,bright
500.004,0.65,horizontal,bright
500.436,0.64,horizontal,bright
500.868,0.65,horizontal,bright
501.299,0.65,horizontal,bright
501.731,0.67,horizontal,bright
502.163,0.66,horizontal,bright
502.594,0.67,horizontal,bright
503.026,0.67,horizontal,bright
503.457,0.68,horizontal,bright
503.888,0.67,horizontal,bright
504.32,0.66,horizontal,bright
504.751,0.68,horizontal,bright
505.182,0.67,horizontal,bright
505.613,0.68,horizontal,bright
506.044,0.68,horizontal,bright
506.475,0.69,horizontal,bright
506.906,0.7,horizontal,bright
507.337,0.69,horizontal,bright
507.768,0.7,horizontal,bright
508.199,0.71,horizontal,bright
508.63,0.71,horizontal,bright
509.06,0.7,horizontal,bright
509.491,0.71,horizontal,bright
509.921,0.71,horizontal,bright
510.352,0.71,horizontal,bright
510.782,0.73,horizontal,bright
511.213,0.74,horizontal,bright
511.643,0.74,horizontal,bright
512.073,0.72,horizontal,bright
512.504,0.73,horizontal,bright
512.934,0.73,horizontal,bright
513.364,0.73,horizontal,bright
513.794,0.74,horizontal,bright
514.224,0.74,horizontal,bright
514.654,0.73,horizontal,bright
515.084,0.75,horizontal,bright
515.514,0.76,horizontal,bright
515.944,0.75,horizontal,bright
516.373,0.75,horizontal,bright
516.803,0.75,horizontal,bright
517.233,0.74,horizontal,bright
517.662,0.74,horizontal,bright
518.092,0.75,horizontal,bright
518.521,0.74,horizontal,bright
518.951,0.76,horizontal,bright
519.38,0.76,horizontal,bright
519.809,0.77,horizontal,bright
520.238,0.75,horizontal,bright
520.668,0.77,horizontal,bright
521.097,0.76,horizontal,bright
521.526,0.75,horizontal,bright
521.955,0.75,horizontal,bright
522.384,0.76,horizontal,bright
522.813,0.76,horizontal,bright
523.241,0.76,horizontal,bright
523.67,0.76,horizontal,bright
524.099,0.77,horizontal,bright
524.528,0.77,horizontal,bright
524.956,0.77,horizontal,bright
525.385,0.76,horizontal,bright
525.813,0.76,horizontal,bright
526.242,0.76,horizontal,bright
526.67,0.77,horizontal,bright
527.098,0.78,horizontal,bright
527.527,0.78,horizontal,bright
527.955,0.77,horizontal,bright
528.383,0.76,horizontal,bright
528.811,0.77,horizontal,bright
529.239,0.77,horizontal,bright
529.667,0.75,horizontal,bright
530.095,0.77,horizontal,bright
530.523,0.77,horizontal,bright
530.951,0.77,horizontal,bright
531.379,0.77,horizontal,bright
531.806,0.77,horizontal,bright
532.234,0.76,horizontal,bright
532.662,0.77,horizontal,bright
533.089,0.79,horizontal,bright
533.517,0.77,horizontal,bright
533.944,0.77,horizontal,bright
534.372,0.78,horizontal,bright
534.799,0.77,horizontal,bright
535.226,0.77,horizontal,bright
535.653,0.77,horizontal,bright
536.081,0.78,horizontal,bright
536.508,0.77,horizontal,bright
536.935,0.79,horizontal,bright
537.362,0.77,horizontal,bright
537.789,0.79,horizontal,bright
538.215,0.78,horizontal,bright
538.642,0.8,horizontal,bright
539.069,0.8,horizontal,bright
539.496,0.81,horizontal,bright
539.922,0.82,horizontal,bright
540.349,0.83,horizontal,bright
540.776,0.85,horizontal,bright
541.202,0.88,horizontal,bright
541.628,0.91,horizontal,bright
542.055,0.96,horizontal,bright
542.481,1.02,horizontal,bright
542.907,1.05,horizontal,bright
543.334,1.06,horizontal,bright
543.76,1.05,horizontal,bright
544.186,1.07,horizontal,bright
544.612,1.07,horizontal,bright
545.038,1.03,horizontal,bright
545.464,1.06,horizontal,bright
545.89,1.08,horizontal,bright
546.315,1.07,horizontal,bright
546.741,1.04,horizontal,bright
547.167,0.97,horizontal,bright
547.592,0.93,horizontal,bright
548.018,0.88,horizontal,bright
548.444,0.88,horizontal,bright
548.869,0.86,horizontal,bright
549.294,0.87,horizontal,bright
549.72,0.87,horizontal,bright
550.145,0.87,horizontal,bright
550.57,0.87,horizontal,bright
550.996,0.86,horizontal,bright
551.421,0.84,horizontal,bright
551.846,0.85,horizontal,bright
552.271,0.85,horizontal,bright
552.696,0.84,horizontal,bright
553.121,0.83,horizontal,bright
553.545,0.84,horizontal,bright
553.97,0.82,horizontal,bright
554.395,0.83,horizontal,bright
554.82,0.82,horizontal,bright
555.244,0.8,horizontal,bright
555.669,0.81,horizontal,bright
556.093,0.83,horizontal,bright
556.518,0.81,horizontal,bright
556.942,0.81,horizontal,bright
557.367,0.8,horizontal,bright
557.791,0.8,horizontal,bright
558.215,0.81,horizontal,bright
558.639,0.8,horizontal,bright
559.063,0.81,horizontal,bright
559.487,0.81,horizontal,bright
559.911,0.79,horizontal,bright
560.335,0.8,horizontal,bright
560.759,0.81,horizontal,bright
561.183,0.81,horizontal,bright
561.607,0.81,horizontal,bright
562.031,0.8,horizontal,bright
562.454,0.8,horizontal,bright
562.878,0.82,horizontal,bright
563.301,0.79,horizontal,bright
563.725,0.8,horizontal,bright
564.148,0.81,horizontal,bright
564.572,0.82,horizontal,bright
564.995,0.81,horizontal,bright
565.418,0.8,horizontal,bright
565.842,0.82,horizontal,bright
566.265,0.81,horizontal,bright
566.688,0.8,horizontal,bright
567.111,0.8,horizontal,bright
567.534,0.8,horizontal,bright
567.957,0.8,horizontal,bright
568.38,0.8,horizontal,bright
568.802,0.8,horizontal,bright
569.225,0.79,horizontal,bright
569.648,0.8,horizontal,bright
570.071,0.8,horizontal,bright
570.493,0.8,horizontal,bright
570.916,0.81,horizontal,bright
571.338,0.8,horizontal,bright
571.761,0.8,horizontal,bright
572.183,0.79,horizontal,bright
572.605,0.8,horizontal,bright
573.028,0.79,horizontal,bright
573.45,0.8,horizontal,bright
573.872,0.79,horizontal,bright
574.294,0.8,horizontal,bright
574.716,0.8,horizontal,bright
575.138,0.79,horizontal,bright
575.56,0.79,horizontal,bright
575.982,0.8,horizontal,bright
576.403,0.8,horizontal,bright
576.825,0.81,horizontal,bright
577.247,0.82,horizontal,bright
577.669,0.81,horizontal,bright
578.09,0.8,horizontal,bright
578.512,0.81,horizontal,bright
578.933,0.8,horizontal,bright
579.354,0.82,horizontal,bright
579.776,0.82,horizontal,bright
